Date : 2020-05-15 18:13:54
Directory : c:\Users\K-PC\GoogleDrive\GitHub\win-vind
Total : 225 files,  33060 codes, 1497 comments, 7088 blanks, all 41645 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| build\src\system\CMakeFiles\Keybinds.dir                                                                                  |          3 |         63 |          0 |          7 |         70 |
| build\src\system\CMakeFiles\Options.dir                                                                                   |          3 |         39 |          0 |          7 |         46 |
| config                                                                                                                    |          4 |        102 |         18 |         33 |        153 |
| debug                                                                                                                     |         39 |      4,740 |        363 |      1,263 |      6,366 |
| debug\CMakeFiles                                                                                                          |         13 |      2,575 |        106 |        540 |      3,221 |
| debug\CMakeFiles\3.14.4                                                                                                   |          6 |      1,114 |        106 |        257 |      1,477 |
| debug\CMakeFiles\3.14.4\CompilerIdC                                                                                       |          1 |        499 |         52 |        109 |        660 |
| debug\CMakeFiles\3.14.4\CompilerIdCXX                                                                                     |          1 |        478 |         54 |        107 |        639 |
| debug\CMakeFiles\win-vind.dir                                                                                             |          2 |         51 |          0 |          7 |         58 |
| debug\src                                                                                                                 |         21 |      1,115 |        170 |        449 |      1,734 |
| debug\src\system                                                                                                          |         21 |      1,115 |        170 |        449 |      1,734 |
| debug\src\system\CMakeFiles                                                                                               |         19 |        298 |          0 |         47 |        345 |
| debug\src\system\CMakeFiles\Binders.dir                                                                                   |          3 |         42 |          0 |          7 |         49 |
| debug\src\system\CMakeFiles\Common.dir                                                                                    |          3 |         62 |          0 |          7 |         69 |
| debug\src\system\CMakeFiles\CoreSystem.dir                                                                                |          3 |         41 |          0 |          7 |         48 |
| debug\src\system\CMakeFiles\EditorKeybinds.dir                                                                            |          3 |         39 |          0 |          7 |         46 |
| debug\src\system\CMakeFiles\Keybinds.dir                                                                                  |          3 |         63 |          0 |          7 |         70 |
| debug\src\system\CMakeFiles\Options.dir                                                                                   |          3 |         39 |          0 |          7 |         46 |
| include                                                                                                                   |         52 |      1,534 |         33 |        471 |      2,038 |
| include\system                                                                                                            |         45 |      1,350 |         22 |        415 |      1,787 |
| include\system\common                                                                                                     |         19 |        565 |         22 |        168 |        755 |
| include\system\editor_keybinds                                                                                            |          2 |         89 |          0 |         34 |        123 |
| include\system\keybinds                                                                                                   |         14 |        468 |          0 |        152 |        620 |
| include\system\options                                                                                                    |          2 |         40 |          0 |         15 |         55 |
| include\win32gui                                                                                                          |          2 |         57 |          0 |         18 |         75 |
| include\wxgui                                                                                                             |          5 |        127 |         11 |         38 |        176 |
| log                                                                                                                       |          2 |          3 |          0 |          2 |          5 |
| pygui                                                                                                                     |          3 |      8,364 |          0 |      1,638 |     10,002 |
| pygui\build                                                                                                               |          1 |      8,332 |          0 |      1,631 |      9,963 |
| pygui\build\main                                                                                                          |          1 |      8,332 |          0 |      1,631 |      9,963 |
| release                                                                                                                   |         24 |      4,428 |        322 |      1,171 |      5,921 |
| release\CMakeFiles                                                                                                        |         13 |      2,562 |        106 |        540 |      3,208 |
| release\CMakeFiles\3.14.4                                                                                                 |          6 |      1,114 |        106 |        257 |      1,477 |
| release\CMakeFiles\3.14.4\CompilerIdC                                                                                     |          1 |        499 |         52 |        109 |        660 |
| release\CMakeFiles\3.14.4\CompilerIdCXX                                                                                   |          1 |        478 |         54 |        107 |        639 |
| release\CMakeFiles\win-vind.dir                                                                                           |          2 |         43 |          0 |          7 |         50 |
| release\src                                                                                                               |          6 |        897 |        155 |        395 |      1,447 |
| release\src\system                                                                                                        |          6 |        897 |        155 |        395 |      1,447 |
| release\src\system\CMakeFiles                                                                                             |          4 |        125 |          0 |         13 |        138 |
| release\src\system\CMakeFiles\CoreSystem.dir                                                                              |          3 |        113 |          0 |          8 |        121 |
| src                                                                                                                       |         43 |      4,402 |        381 |      1,159 |      5,942 |
| src\system                                                                                                                |         35 |      3,467 |        292 |        924 |      4,683 |
| src\system\common                                                                                                         |         14 |      1,272 |        101 |        319 |      1,692 |
| src\system\editor_keybinds                                                                                                |          2 |        189 |         78 |         59 |        326 |
| src\system\keybinds                                                                                                       |         14 |      1,314 |         85 |        384 |      1,783 |
| src\system\options                                                                                                        |          2 |        257 |          1 |         49 |        307 |
| src\win32gui                                                                                                              |          2 |        361 |         21 |         71 |        453 |
| src\wxgui                                                                                                                 |          6 |        574 |         68 |        164 |        806 |
| wxFromBuilder                                                                                                             |          2 |         52 |         17 |         38 |        107 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                  | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\README.md                                                                       | Markdown    |         79 |          0 |         18 |         97 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build.bat                                                                       | Batch       |         31 |          0 |          9 |         40 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\query\client-vscode\query.json                              | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\cache-v2-68947da8c16a8a0d68de.json                    | JSON        |      2,743 |          0 |          1 |      2,744 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\codemodel-v2-a8441fa0bff958fead61.json                | JSON        |        132 |          0 |          1 |        133 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\index-2020-05-14T17-19-42-0234.json                   | JSON        |         87 |          0 |          1 |         88 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Binders-Debug-92bcca275c77fdbae1fe.json        | JSON        |        159 |          0 |          1 |        160 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Common-Debug-c86779c560864142c903.json         | JSON        |        229 |          0 |          1 |        230 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-CoreSystem-Debug-04a6c5ce70244635ff9e.json     | JSON        |        155 |          0 |          1 |        156 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-EditorKeybinds-Debug-3868b5fbe374b8112fe9.json | JSON        |        147 |          0 |          1 |        148 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Keybinds-Debug-d5e3dd76aea4409ad43d.json       | JSON        |        243 |          0 |          1 |        244 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Options-Debug-89353ee015f244dcdb26.json        | JSON        |        147 |          0 |          1 |        148 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-win-vind-Debug-c0b2f1e8a90f92523bf8.json       | JSON        |        277 |          0 |          1 |        278 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeCache.txt                                                            | CMake Cache |        574 |          0 |        140 |        714 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeCCompiler.cmake                                    | CMake       |         59 |          0 |         17 |         76 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeCXXCompiler.cmake                                  | CMake       |         62 |          0 |         17 |         79 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeRCCompiler.cmake                                   | CMake       |          6 |          0 |          1 |          7 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeSystem.cmake                                       | CMake       |         10 |          0 |          6 |         16 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CompilerIdCXX\CMakeCXXCompilerId.cpp                    | C++         |        478 |         54 |        107 |        639 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CompilerIdC\CMakeCCompilerId.c                          | C           |        499 |         52 |        109 |        660 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\CMakeDirectoryInformation.cmake                                | CMake       |         12 |          0 |          5 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\CMakeOutput.log                                                | Log         |        899 |          0 |        257 |      1,156 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\Makefile.cmake                                                 | CMake       |         66 |          0 |          6 |         72 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\feature_tests.c                                                | C           |         31 |          0 |          4 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\feature_tests.cxx                                              | C++         |        402 |          0 |          4 |        406 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\win-vind.dir\DependInfo.cmake                                  | CMake       |         36 |          0 |          5 |         41 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\win-vind.dir\cmake_clean.cmake                                 | CMake       |         15 |          0 |          2 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CPackConfig.cmake                                                         | CMake       |         93 |          0 |          5 |         98 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CPackSourceConfig.cmake                                                   | CMake       |        101 |          0 |          5 |        106 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\Makefile                                                                  | Makefile    |        225 |         87 |        114 |        426 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\cmake_install.cmake                                                       | CMake       |         58 |          0 |         11 |         69 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\compile_commands.json                                                     | JSON        |        197 |          0 |          0 |        197 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Binders.dir\DependInfo.cmake                        | CMake       |         29 |          0 |          4 |         33 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Binders.dir\cmake_clean.cmake                       | CMake       |         10 |          0 |          2 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Binders.dir\cmake_clean_target.cmake                | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CMakeDirectoryInformation.cmake                     | CMake       |         12 |          0 |          5 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Common.dir\DependInfo.cmake                         | CMake       |         37 |          0 |          4 |         41 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Common.dir\cmake_clean.cmake                        | CMake       |         22 |          0 |          2 |         24 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Common.dir\cmake_clean_target.cmake                 | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CoreSystem.dir\DependInfo.cmake                     | CMake       |         29 |          0 |          4 |         33 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CoreSystem.dir\cmake_clean.cmake                    | CMake       |          9 |          0 |          2 |         11 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\CoreSystem.dir\cmake_clean_target.cmake             | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\EditorKeybinds.dir\DependInfo.cmake                 | CMake       |         26 |          0 |          4 |         30 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\EditorKeybinds.dir\cmake_clean.cmake                | CMake       |         10 |          0 |          2 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\EditorKeybinds.dir\cmake_clean_target.cmake         | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Keybinds.dir\DependInfo.cmake                       | CMake       |         38 |          0 |          4 |         42 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Keybinds.dir\cmake_clean.cmake                      | CMake       |         22 |          0 |          2 |         24 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Keybinds.dir\cmake_clean_target.cmake               | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Options.dir\DependInfo.cmake                        | CMake       |         26 |          0 |          4 |         30 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Options.dir\cmake_clean.cmake                       | CMake       |         10 |          0 |          2 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\CMakeFiles\Options.dir\cmake_clean_target.cmake                | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\Makefile                                                       | Makefile    |        788 |        170 |        396 |      1,354 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\src\system\cmake_install.cmake                                            | CMake       |         29 |          0 |          6 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build_gui.bat                                                                   | Batch       |          3 |          0 |          0 |          3 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default.ini                                                              | Ini         |         17 |         17 |         11 |         45 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\default.xml                                                              | XML         |         75 |          1 |         21 |         97 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\exapp.ini                                                                | Ini         |          7 |          0 |          0 |          7 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\config\option.ini                                                               | Ini         |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\create_ins.bat                                                                  | Batch       |         25 |          0 |          5 |         30 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\create_zip.bat                                                                  | Batch       |         39 |          0 |          7 |         46 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeCache.txt                                                            | CMake Cache |        573 |          0 |        139 |        712 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeCCompiler.cmake                                    | CMake       |         59 |          0 |         17 |         76 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeCXXCompiler.cmake                                  | CMake       |         62 |          0 |         17 |         79 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeRCCompiler.cmake                                   | CMake       |          6 |          0 |          1 |          7 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CMakeSystem.cmake                                       | CMake       |         10 |          0 |          6 |         16 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CompilerIdCXX\CMakeCXXCompilerId.cpp                    | C++         |        478 |         54 |        107 |        639 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\3.14.4\CompilerIdC\CMakeCCompilerId.c                          | C           |        499 |         52 |        109 |        660 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\CMakeDirectoryInformation.cmake                                | CMake       |         12 |          0 |          5 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\CMakeOutput.log                                                | Log         |        899 |          0 |        257 |      1,156 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\Makefile.cmake                                                 | CMake       |         66 |          0 |          6 |         72 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\feature_tests.c                                                | C           |         31 |          0 |          4 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\feature_tests.cxx                                              | C++         |        402 |          0 |          4 |        406 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\win-vind.dir\DependInfo.cmake                                  | CMake       |         36 |          0 |          5 |         41 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CMakeFiles\win-vind.dir\cmake_clean.cmake                                 | CMake       |         15 |          0 |          2 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CPackConfig.cmake                                                         | CMake       |         93 |          0 |          5 |         98 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\CPackSourceConfig.cmake                                                   | CMake       |        101 |          0 |          5 |        106 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\Makefile                                                                  | Makefile    |        225 |         87 |        114 |        426 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\cmake_install.cmake                                                       | CMake       |         58 |          0 |         11 |         69 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Binders.dir\DependInfo.cmake                        | CMake       |         29 |          0 |          4 |         33 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Binders.dir\cmake_clean.cmake                       | CMake       |         10 |          0 |          2 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Binders.dir\cmake_clean_target.cmake                | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\CMakeDirectoryInformation.cmake                     | CMake       |         12 |          0 |          5 |         17 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Common.dir\DependInfo.cmake                         | CMake       |         37 |          0 |          4 |         41 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Common.dir\cmake_clean.cmake                        | CMake       |         22 |          0 |          2 |         24 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Common.dir\cmake_clean_target.cmake                 | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\CoreSystem.dir\DependInfo.cmake                     | CMake       |         29 |          0 |          4 |         33 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\CoreSystem.dir\cmake_clean.cmake                    | CMake       |          9 |          0 |          2 |         11 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\CoreSystem.dir\cmake_clean_target.cmake             | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\EditorKeybinds.dir\DependInfo.cmake                 | CMake       |         26 |          0 |          4 |         30 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\EditorKeybinds.dir\cmake_clean.cmake                | CMake       |         10 |          0 |          2 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\EditorKeybinds.dir\cmake_clean_target.cmake         | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Keybinds.dir\DependInfo.cmake                       | CMake       |         38 |          0 |          4 |         42 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Keybinds.dir\cmake_clean.cmake                      | CMake       |         22 |          0 |          2 |         24 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Keybinds.dir\cmake_clean_target.cmake               | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Options.dir\DependInfo.cmake                        | CMake       |         26 |          0 |          4 |         30 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Options.dir\cmake_clean.cmake                       | CMake       |         10 |          0 |          2 |         12 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\CMakeFiles\Options.dir\cmake_clean_target.cmake                | CMake       |          3 |          0 |          1 |          4 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\Makefile                                                       | Makefile    |        788 |        170 |        396 |      1,354 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\debug\src\system\cmake_install.cmake                                            | CMake       |         29 |          0 |          6 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\binded_function.hpp                                       | C++         |         32 |          1 |         15 |         48 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\binded_function_with_creator.hpp                          | C++         |         28 |          4 |         11 |         43 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\command.hpp                                               | C++         |         31 |          1 |         13 |         45 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\command_with_creator.hpp                                  | C++         |         19 |          4 |          6 |         29 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\default_config.hpp                                        | C++         |         45 |          0 |          7 |         52 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\dynamic_option.hpp                                        | C++         |         31 |          0 |         13 |         44 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\interval_timer.hpp                                        | C++         |         20 |          0 |          8 |         28 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\key_absorber.hpp                                          | C++         |         18 |          0 |          5 |         23 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\key_log.hpp                                               | C++         |         35 |          0 |         13 |         48 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\key_logger.hpp                                            | C++         |         32 |          1 |         11 |         44 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\keybrd_eventer.hpp                                        | C++         |         55 |          4 |         20 |         79 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\mode_manager.hpp                                          | C++         |         19 |          0 |          4 |         23 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\mouse_eventer.hpp                                         | C++         |         16 |          1 |          5 |         22 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\text_analyzer.hpp                                         | C++         |          7 |          4 |          4 |         15 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\type_traits.hpp                                           | C++         |         14 |          1 |          5 |         20 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\utility.hpp                                               | C++         |         20 |          0 |          4 |         24 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\virtual_key_fwd.hpp                                       | C++         |        112 |          0 |         14 |        126 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\vkc_converter.hpp                                         | C++         |         15 |          0 |          5 |         20 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\common\xml_parser.hpp                                            | C++         |         16 |          1 |          5 |         22 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\disable_gcc_warning.hpp                                          | C++         |         11 |          0 |          0 |         11 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\editor_keybinds\edi_change_mode.hpp                              | C++         |         29 |          0 |         11 |         40 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\editor_keybinds\edi_move_cursor.hpp                              | C++         |         60 |          0 |         23 |         83 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\enable_gcc_warning.hpp                                           | C++         |         11 |          0 |          0 |         11 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\ini_parser.hpp                                                   | C++         |         35 |          0 |          6 |         41 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\key_binder.hpp                                                   | C++         |         26 |          0 |          9 |         35 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\change_mode.hpp                                         | C++         |         29 |          0 |         10 |         39 |
| c:\Users\K-PC\GoogleDrive\GitHub\win-vind\include\system\keybinds\click.hpp                                               | C++         |         14 |          0 |          4 |         18 |
